IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP8,IP_PROP3,IP_PROP7,IP_PROP5,IP_PROP4,IP_PROP6,IC_GROUP0,IC_GROUP1,IC_GROUP2
199,8243655f-5771-11e8-ba94-226e60c524e5,199,Y,,,,,text,,,text,,500,,Фруктовая 2 секция ,8243655f-5771-11e8-ba94-226e60c524e5,"Удмуртская Республика, Октябрьский район,  г. Ижевск,ул. Фруктовая",Фруктовая,,,,,
200,7af478eb-e61e-11e7-a7b5-5ef3fcbcaf17,200,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_1,7af478eb-e61e-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
201,bdc1a90a-e624-11e7-a7b5-5ef3fcbcaf17,201,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_2,bdc1a90a-e624-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
202,c1d6df55-e650-11e7-a7b5-5ef3fcbcaf17,202,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_3,c1d6df55-e650-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
203,ce1110de-e650-11e7-a7b5-5ef3fcbcaf17,203,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_4,ce1110de-e650-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
204,dac4a894-e650-11e7-a7b5-5ef3fcbcaf17,204,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_5,dac4a894-e650-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
205,e85cc465-e650-11e7-a7b5-5ef3fcbcaf17,205,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_6,e85cc465-e650-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
206,f4a2dcce-e650-11e7-a7b5-5ef3fcbcaf17,206,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_7,f4a2dcce-e650-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
207,023d59ff-e651-11e7-a7b5-5ef3fcbcaf17,207,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ1_8,023d59ff-e651-11e7-a7b5-5ef3fcbcaf17,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,27.03.2020 г.,,,
208,2e1afbce-5a5e-11e8-ba94-226e60c524e5,208,Y,,,,,text,,,text,,500,,Интеллект-квартал_ТЮ2_1,2e1afbce-5a5e-11e8-ba94-226e60c524e5,72:17:1313004:1011,Комплекс жилых домов в микрорайоне Тюменская слобода г. Тюмень,Интеллект-квартал,,,,
